id,name,team_name,team_id,position,price,ownership,expected_minutes,expected_gw_points,value,fixture_next3,next5_avg_difficulty,xgi_proxy,transfer_score,captain_score,differential_score,recommendation
401,Marmoush,Man City,15,FWD,7.0,0.8,90.0,2.266,0.3237,0.583,2.8,0.355,4.607,2.727,6.251,BUY
200,Lacroix,Chelsea,6,DEF,6.0,10.6,90.0,2.716,0.4527,0.417,3.0,0.328,4.606,2.105,5.844,BUY
432,Mainoo,Man Utd,16,MID,5.5,1.1,90.0,2.12,0.3855,0.667,2.8,0.175,4.603,2.433,6.202,WATCH
470,Morato,Nott'm Forest,18,DEF,5.0,0.1,90.0,2.2,0.44,0.5,3.0,0.147,4.593,1.72,6.3,BUY
403,Savinho,Man City,15,MID,6.5,0.1,85.0,2.237,0.3442,0.583,2.8,0.409,4.589,2.61,6.285,WATCH
327,Bijol,Leeds,13,DEF,5.0,0.3,90.0,2.2,0.44,0.5,2.8,0.165,4.585,1.723,6.279,WATCH
130,Wieffer,Brighton,5,DEF,5.0,0.3,90.0,2.2,0.44,0.5,3.0,0.378,4.585,1.758,6.279,WATCH
404,Reijnders,Man City,15,MID,6.0,0.3,90.0,2.163,0.3605,0.583,2.8,0.696,4.572,2.721,6.229,WATCH
391,Gvardiol,Man City,15,DEF,5.5,12.0,90.0,2.575,0.4682,0.583,2.8,0.295,4.561,2.073,5.652,WATCH
514,Tel,Spurs,19,MID,6.0,0.6,90.0,2.163,0.3605,0.583,2.8,0.489,4.559,2.608,6.197,WATCH
60,Hill,Bournemouth,3,DEF,5.5,1.1,90.0,2.35,0.4273,0.333,3.6,0.204,4.548,1.772,6.253,WATCH
369,Ngumoha,Liverpool,14,MID,6.0,1.2,90.0,2.163,0.3605,0.583,2.6,0.335,4.533,2.523,6.133,WATCH
371,Gravenberch,Liverpool,14,MID,6.0,1.9,90.0,2.163,0.3605,0.583,2.6,0.415,4.503,2.567,6.058,WATCH
405,N.Gonzalez,Man City,15,MID,5.5,0.1,90.0,2.06,0.3745,0.583,2.8,0.18,4.502,2.326,6.144,WATCH
520,Bergvall,Spurs,19,MID,5.5,0.2,90.0,2.06,0.3745,0.583,2.8,0.166,4.497,2.319,6.133,WATCH
97,Jensen,Brentford,4,MID,5.5,0.2,90.0,2.06,0.3745,0.583,3.0,0.827,4.497,2.682,6.133,WATCH
516,Bentancur,Spurs,19,MID,5.5,0.2,90.0,2.06,0.3745,0.583,2.8,0.156,4.497,2.313,6.133,WATCH
519,Gallagher,Spurs,19,MID,5.5,0.3,90.0,2.06,0.3745,0.583,2.8,0.193,4.493,2.333,6.123,WATCH
86,Lewis-Potter,Brentford,4,MID,5.5,0.5,90.0,2.06,0.3745,0.583,3.0,0.552,4.484,2.531,6.101,WATCH
379,Isak,Liverpool,14,FWD,9.0,15.3,90.0,2.781,0.309,0.583,2.6,0.267,4.482,3.237,5.397,WATCH
525,Fernandes,Spurs,19,MID,6.0,2.4,90.0,2.163,0.3605,0.583,2.8,0.495,4.481,2.611,6.005,WATCH
96,Damsgaard,Brentford,4,MID,5.5,0.6,90.0,2.06,0.3745,0.583,3.0,0.804,4.48,2.669,6.091,WATCH
16,Madueke,Arsenal,1,MID,6.5,0.3,90.0,2.231,0.3432,0.417,3.2,0.409,4.478,2.543,6.164,WATCH
155,Enzo,Chelsea,6,MID,7.0,5.3,90.0,2.425,0.3464,0.417,3.0,1.0,4.461,3.069,5.9,WATCH
366,Wirtz,Liverpool,14,MID,7.5,14.7,90.0,2.678,0.3571,0.583,2.6,1.0,4.458,3.445,5.38,WATCH
94,Schade,Brentford,4,MID,6.0,3.1,90.0,2.163,0.3605,0.583,3.0,1.0,4.451,2.889,5.93,WATCH
544,Xhaka,Sunderland,20,MID,5.5,4.7,90.0,2.12,0.3855,0.667,3.2,0.474,4.447,2.598,5.818,WATCH
446,Schär,Newcastle,17,DEF,5.0,0.2,90.0,2.134,0.4268,0.417,3.0,0.157,4.437,1.638,6.115,WATCH
156,Neto,Chelsea,6,MID,6.5,1.3,90.0,2.231,0.3432,0.417,3.0,1.0,4.435,2.868,6.058,WATCH
503,Van de Ven,Spurs,19,DEF,5.0,7.3,90.0,2.266,0.4532,0.583,2.8,0.32,4.433,1.834,5.706,WATCH
499,Pedro Porro,Spurs,19,DEF,5.5,23.0,90.0,2.575,0.4682,0.583,2.8,0.542,4.431,2.113,5.332,WATCH
157,Estêvão,Chelsea,6,MID,6.5,1.4,90.0,2.231,0.3432,0.417,3.0,0.505,4.43,2.595,6.047,WATCH
482,Hudson-Odoi,Nott'm Forest,18,MID,6.0,0.2,90.0,2.1,0.35,0.5,3.0,0.579,4.429,2.544,6.072,WATCH
447,Botman,Newcastle,17,DEF,5.0,0.4,90.0,2.134,0.4268,0.417,3.0,0.259,4.428,1.654,6.094,WATCH
372,Mac Allister,Liverpool,14,MID,5.5,1.8,90.0,2.06,0.3745,0.583,2.6,0.558,4.428,2.534,5.963,WATCH
123,Hinshelwood,Brighton,5,MID,6.0,0.3,90.0,2.1,0.35,0.5,3.0,0.728,4.425,2.626,6.062,WATCH
203,Canvot,Crystal Palace,8,DEF,5.0,0.5,90.0,2.134,0.4268,0.417,3.0,0.181,4.424,1.642,6.083,WATCH
232,O'Brien,Everton,9,DEF,5.0,0.5,90.0,2.134,0.4268,0.417,3.0,0.267,4.424,1.656,6.083,WATCH
336,Okafor,Leeds,13,MID,6.0,0.6,90.0,2.1,0.35,0.5,2.8,0.657,4.412,2.587,6.03,WATCH
202,Richards,Crystal Palace,8,DEF,5.0,0.8,90.0,2.134,0.4268,0.417,3.0,0.398,4.411,1.677,6.051,WATCH
160,Garnacho,Aston Villa,2,MID,6.0,0.7,90.0,2.1,0.35,0.5,3.0,0.712,4.408,2.618,6.019,WATCH
144,Gusto,Chelsea,6,DEF,5.0,1.1,90.0,2.134,0.4268,0.417,3.0,0.453,4.398,1.686,6.019,WATCH
526,Solanke,Spurs,19,FWD,6.0,1.7,90.0,2.06,0.3433,0.583,2.8,0.33,4.396,2.484,5.924,WATCH
335,Stach,Leeds,13,MID,6.0,1.1,90.0,2.1,0.35,0.5,2.8,0.735,4.39,2.63,5.976,WATCH
14,Eze,Arsenal,1,MID,6.5,2.5,90.0,2.231,0.3432,0.417,3.2,0.784,4.383,2.749,5.93,WATCH
61,Truffert,Bournemouth,3,DEF,5.5,4.9,90.0,2.35,0.4273,0.333,3.6,0.442,4.383,1.811,5.848,WATCH
481,Anderson,Man City,15,MID,6.5,9.6,90.0,2.369,0.3645,0.583,2.8,0.773,4.382,2.987,5.524,WATCH
41,Buendía,Aston Villa,2,MID,6.0,1.3,90.0,2.1,0.35,0.5,3.0,0.561,4.382,2.535,5.955,WATCH
231,Keane,Everton,9,DEF,5.0,1.7,90.0,2.134,0.4268,0.417,3.0,0.279,4.372,1.658,5.955,WATCH
142,James,Chelsea,6,DEF,5.5,8.9,90.0,2.425,0.4409,0.417,3.0,0.424,4.372,1.901,5.608,WATCH
418,Maguire,Man Utd,16,DEF,5.0,12.4,90.0,2.332,0.4664,0.667,2.8,0.162,4.365,1.896,5.336,WATCH
112,Van Hecke,Spurs,19,DEF,5.0,8.9,90.0,2.266,0.4532,0.583,2.8,0.487,4.364,1.861,5.535,WATCH
445,Thiaw,Newcastle,17,DEF,5.0,1.9,90.0,2.134,0.4268,0.417,3.0,0.576,4.363,1.706,5.934,WATCH
368,Szoboszlai,Liverpool,14,MID,7.0,41.2,90.0,2.575,0.3679,0.583,2.6,1.0,4.36,3.334,5.234,WATCH
527,Richarlison,Spurs,19,FWD,6.0,2.6,90.0,2.06,0.3433,0.583,2.8,1.0,4.357,2.919,5.828,WATCH
484,Hutchinson,Nott'm Forest,18,MID,5.5,0.2,90.0,2.0,0.3636,0.5,3.0,0.588,4.352,2.443,5.969,WATCH
553,Isidor,Sunderland,20,FWD,5.5,1.1,90.0,1.908,0.3469,0.667,3.2,0.508,4.343,2.473,5.849,WATCH
483,Ndoye,Nott'm Forest,18,MID,5.5,0.5,90.0,2.0,0.3636,0.5,3.0,0.256,4.339,2.261,5.937,WATCH
236,Dewsbury-Hall,Everton,9,MID,6.5,3.5,90.0,2.231,0.3432,0.417,3.0,0.969,4.339,2.851,5.823,WATCH
448,Burn,Newcastle,17,DEF,5.0,2.5,90.0,2.134,0.4268,0.417,3.0,0.144,4.337,1.636,5.87,WATCH
260,Wilson,Leeds,13,MID,6.5,7.3,90.0,2.3,0.3538,0.5,2.8,1.0,4.328,2.988,5.594,WATCH
455,Tonali,Spurs,19,MID,5.5,4.1,90.0,2.06,0.3745,0.583,2.8,0.462,4.328,2.481,5.717,WATCH
129,Ayari,Brighton,5,MID,5.5,0.8,90.0,2.0,0.3636,0.5,3.0,0.385,4.326,2.332,5.905,WATCH
337,Aaronson,Leeds,13,MID,5.5,0.9,90.0,2.0,0.3636,0.5,2.8,0.813,4.322,2.567,5.894,WATCH
452,Bruno G.,Arsenal,1,MID,7.0,9.0,90.0,2.425,0.3464,0.417,3.2,1.0,4.3,3.069,5.506,WATCH
106,Thiago,Brentford,4,FWD,8.0,17.6,90.0,2.575,0.3219,0.583,3.0,1.0,4.298,3.487,5.149,WATCH
338,Ampadu,Leeds,13,MID,5.5,1.5,90.0,2.0,0.3636,0.5,2.8,0.467,4.296,2.377,5.83,WATCH
201,Muñoz,Crystal Palace,8,DEF,5.5,10.9,90.0,2.425,0.4409,0.417,3.0,0.639,4.285,1.937,5.395,WATCH
62,Diakité,Bournemouth,3,DEF,5.0,0.2,90.0,2.068,0.4136,0.333,3.6,0.021,4.285,1.534,5.941,WATCH
449,Hall,Newcastle,17,DEF,5.0,3.7,90.0,2.134,0.4268,0.417,3.0,0.379,4.285,1.674,5.742,WATCH
18,Martinelli,Arsenal,1,MID,6.5,0.3,85.0,2.107,0.3242,0.417,3.2,0.539,4.283,2.455,5.925,WATCH
457,J.Murphy,Newcastle,17,MID,6.0,0.2,90.0,2.037,0.3395,0.417,3.0,0.573,4.282,2.431,5.905,WATCH
494,Vicario,Spurs,19,GKP,4.5,1.2,90.0,1.957,0.4349,0.583,2.8,0.05,4.264,1.44,5.769,WATCH
15,Ødegaard,Arsenal,1,MID,6.5,5.3,90.0,2.231,0.3432,0.417,3.2,0.49,4.261,2.587,5.631,WATCH
55,Watkins,Aston Villa,2,FWD,8.0,12.4,90.0,2.5,0.3125,0.5,3.0,1.0,4.253,3.35,5.245,WATCH
17,Merino,Arsenal,1,MID,6.0,0.9,90.0,2.037,0.3395,0.417,3.2,0.481,4.252,2.381,5.83,WATCH
490,Wood,Nott'm Forest,18,FWD,6.0,1.7,90.0,2.0,0.3333,0.5,3.0,0.461,4.252,2.46,5.761,WATCH
453,Barnes,Newcastle,17,MID,6.0,1.2,90.0,2.037,0.3395,0.417,3.0,0.956,4.239,2.642,5.798,AVOID
26,Havertz,Arsenal,1,FWD,7.5,4.4,90.0,2.231,0.2975,0.417,3.2,0.395,4.238,2.618,5.641,AVOID
45,McGinn,Aston Villa,2,MID,5.5,3.2,90.0,2.0,0.3636,0.5,3.0,0.711,4.222,2.511,5.649,AVOID
542,E.Le Fée,Sunderland,20,MID,6.0,11.9,90.0,2.226,0.371,0.667,3.2,1.0,4.217,3.004,5.159,AVOID
208,Sarr,Crystal Palace,8,MID,6.5,6.4,90.0,2.231,0.3432,0.417,3.0,1.0,4.214,2.868,5.514,AVOID
67,Rayan,Bournemouth,3,MID,6.5,3.1,90.0,2.162,0.3326,0.333,3.6,0.451,4.203,2.448,5.69,AVOID
261,Iwobi,Fulham,10,MID,5.5,1.0,90.0,1.94,0.3527,0.417,3.6,0.661,4.173,2.379,5.719,AVOID
19,Zubimendi,Arsenal,1,MID,5.5,1.3,90.0,1.94,0.3527,0.417,3.2,0.511,4.16,2.296,5.687,AVOID
465,Osula,Newcastle,17,FWD,6.0,1.1,90.0,1.94,0.3233,0.417,3.0,0.49,4.134,2.372,5.662,AVOID
40,Rogers,Chelsea,6,MID,7.5,26.6,90.0,2.522,0.3363,0.417,3.0,1.0,4.12,3.17,4.973,AVOID
13,Rice,Arsenal,1,MID,7.5,20.0,90.0,2.522,0.3363,0.417,3.2,1.0,4.12,3.17,4.973,AVOID
469,N.Williams,Nott'm Forest,18,DEF,5.0,11.2,90.0,2.2,0.44,0.5,3.0,0.598,4.112,1.794,5.116,AVOID
463,Woltemade,Newcastle,17,FWD,6.0,1.7,90.0,1.94,0.3233,0.417,3.0,0.812,4.108,2.581,5.598,AVOID
8,Calafiori,Arsenal,1,DEF,5.5,26.6,90.0,2.425,0.4409,0.417,3.2,0.412,4.107,1.899,4.958,AVOID
491,Igor Jesus,Nott'm Forest,18,FWD,6.0,5.2,90.0,2.0,0.3333,0.5,3.0,0.774,4.101,2.663,5.387,AVOID
136,Welbeck,Chelsea,6,FWD,6.0,2.2,90.0,1.94,0.3233,0.417,3.0,1.0,4.087,2.703,5.544,AVOID
69,Scott,Bournemouth,3,MID,6.0,1.5,90.0,1.974,0.329,0.333,3.6,0.674,4.078,2.379,5.598,AVOID
125,Georginio,Brighton,5,FWD,5.5,1.0,90.0,1.8,0.3273,0.5,3.0,0.58,4.072,2.321,5.551,AVOID
68,Tavernier,Bournemouth,3,MID,6.0,1.8,90.0,1.974,0.329,0.333,3.6,1.0,4.065,2.559,5.566,AVOID
87,Ajer,Brentford,4,DEF,4.5,2.1,90.0,1.751,0.3891,0.583,3.0,0.142,4.049,1.4,5.436,AVOID
159,Caicedo,Chelsea,6,MID,5.5,3.9,90.0,1.94,0.3527,0.417,3.0,0.383,4.047,2.226,5.409,AVOID
11,Mosquera,Arsenal,1,DEF,5.5,11.6,85.0,2.29,0.4164,0.417,3.2,0.073,4.045,1.718,5.061,AVOID
534,Hume,Sunderland,20,DEF,4.5,6.0,90.0,1.802,0.4004,0.667,3.2,0.432,4.015,1.515,5.17,AVOID
502,Robertson,Spurs,19,DEF,4.5,3.0,90.0,1.751,0.3891,0.583,2.8,0.249,4.01,1.418,5.34,AVOID
223,Mateta,Crystal Palace,8,FWD,6.5,6.1,90.0,2.037,0.3134,0.417,3.0,1.0,3.998,2.806,5.236,AVOID
88,Kayode,Brentford,4,DEF,4.5,3.5,90.0,1.751,0.3891,0.583,3.0,0.417,3.989,1.445,5.286,AVOID
552,Brobbey,Sunderland,20,FWD,6.0,15.4,90.0,2.12,0.3533,0.667,3.2,0.669,3.964,2.816,4.668,AVOID
505,Spence,Spurs,19,DEF,4.5,4.2,90.0,1.751,0.3891,0.583,2.8,0.267,3.958,1.42,5.212,AVOID
25,Gyökeres,Arsenal,1,FWD,7.5,11.0,90.0,2.231,0.2975,0.417,3.2,1.0,3.952,3.011,4.937,AVOID
79,Evanilson,Bournemouth,3,FWD,6.0,2.2,90.0,1.88,0.3133,0.333,3.6,1.0,3.943,2.599,5.381,AVOID
115,De Cuyper,Brighton,5,DEF,4.5,1.5,90.0,1.7,0.3778,0.5,3.0,0.574,3.941,1.404,5.35,AVOID
249,Barry,Everton,9,FWD,5.5,1.2,90.0,1.746,0.3175,0.417,3.0,0.861,3.926,2.408,5.375,AVOID
70,Kluivert,Bournemouth,3,MID,6.0,1.1,85.0,1.864,0.3107,0.333,3.6,0.386,3.916,2.083,5.422,AVOID
250,Leno,Fulham,10,GKP,4.5,3.2,90.0,1.843,0.4096,0.417,3.6,0.05,3.899,1.303,5.241,AVOID
329,Rodon,Leeds,13,DEF,4.5,2.6,90.0,1.7,0.3778,0.5,2.8,0.196,3.893,1.343,5.232,AVOID
113,F.Kadıoğlu,Brighton,5,DEF,4.5,3.1,90.0,1.7,0.3778,0.5,3.0,0.537,3.872,1.398,5.179,AVOID
248,Beto,Everton,9,FWD,5.5,2.9,90.0,1.746,0.3175,0.417,3.0,0.913,3.852,2.441,5.194,AVOID
124,Groß,Brighton,5,MID,5.5,12.1,90.0,2.0,0.3636,0.5,3.0,0.534,3.837,2.414,4.699,AVOID
473,Aina,Nott'm Forest,18,DEF,4.5,4.1,90.0,1.7,0.3778,0.5,3.0,0.125,3.828,1.331,5.072,AVOID
102,Yarmoliuk,Brentford,4,MID,5.0,1.4,90.0,1.545,0.309,0.583,3.0,0.261,3.82,1.814,5.159,AVOID
233,Mykolenko,Everton,9,DEF,4.5,1.4,90.0,1.649,0.3664,0.417,3.0,0.274,3.811,1.291,5.21,AVOID
162,Andrey Santos,Man Utd,16,MID,5.0,1.2,85.0,1.502,0.3004,0.667,2.8,0.288,3.799,1.791,5.133,AVOID
254,Robinson,Fulham,10,DEF,4.5,2.1,90.0,1.649,0.3664,0.417,3.6,0.265,3.781,1.289,5.136,AVOID
165,João Pedro,Chelsea,6,FWD,7.5,59.8,90.0,2.231,0.2975,0.417,3.0,1.0,3.778,3.011,4.51,AVOID
421,Heaven,Man Utd,16,DEF,4.5,0.4,90.0,1.802,0.4004,0.667,2.8,0.052,3.757,1.453,5.767,AVOID
536,Reinildo,Sunderland,20,DEF,4.5,0.5,90.0,1.802,0.4004,0.667,3.2,0.075,3.753,1.457,5.757,AVOID
57,Petrović,Bournemouth,3,GKP,4.5,3.5,90.0,1.786,0.3969,0.333,3.6,0.05,3.746,1.237,5.052,AVOID
422,Mazraoui,Man Utd,16,DEF,4.5,0.7,90.0,1.802,0.4004,0.667,2.8,0.053,3.744,1.453,5.735,AVOID
459,L.Miley,Newcastle,17,MID,5.5,0.0,90.0,1.94,0.3527,0.417,3.0,0.346,3.716,2.206,5.825,AVOID
42,Guessand,Crystal Palace,8,MID,5.5,0.0,90.0,1.94,0.3527,0.417,3.0,0.241,3.716,2.148,5.825,AVOID
241,McNeil,Crystal Palace,8,MID,5.5,0.2,90.0,1.94,0.3527,0.417,3.0,0.328,3.707,2.196,5.804,AVOID
211,Yeremy,Crystal Palace,8,MID,5.5,0.2,90.0,1.94,0.3527,0.417,3.0,1.0,3.707,2.565,5.804,AVOID
262,Smith Rowe,Fulham,10,MID,5.5,0.4,90.0,1.94,0.3527,0.417,3.6,0.583,3.699,2.336,5.783,AVOID
210,Wharton,Crystal Palace,8,MID,5.5,0.6,90.0,1.94,0.3527,0.417,3.0,0.898,3.69,2.509,5.761,AVOID
440,Zirkzee,Man Utd,16,FWD,5.5,0.7,85.0,1.802,0.3276,0.667,2.8,0.308,3.682,2.196,5.675,AVOID
485,Bakwa,Nott'm Forest,18,MID,5.5,0.0,85.0,1.889,0.3435,0.5,3.0,0.155,3.677,2.06,5.766,AVOID
346,Calvert-Lewin,Leeds,13,FWD,6.0,27.2,90.0,2.0,0.3333,0.5,2.8,1.0,3.676,2.81,4.342,AVOID
468,John,Nott'm Forest,18,GKP,4.5,0.1,90.0,1.9,0.4222,0.5,3.0,0.05,3.673,1.371,5.729,AVOID
29,M.Bizot,Aston Villa,2,GKP,4.5,0.1,90.0,1.9,0.4222,0.5,3.0,0.05,3.673,1.371,5.729,AVOID
496,Kinsky,Spurs,19,GKP,4.5,20.7,90.0,1.957,0.4349,0.583,2.8,0.05,3.666,1.44,4.297,AVOID
539,O'Nien,Sunderland,20,DEF,4.0,3.1,90.0,1.4,0.35,0.667,3.2,0.028,3.664,1.127,4.834,AVOID
222,Strand Larsen,Crystal Palace,8,FWD,6.0,0.6,90.0,1.94,0.3233,0.417,3.0,0.642,3.656,2.471,5.715,AVOID
326,Perri,Leeds,13,GKP,4.5,0.6,90.0,1.9,0.4222,0.5,2.8,0.05,3.651,1.371,5.676,AVOID
237,Ndiaye,Everton,9,MID,6.0,15.6,90.0,2.037,0.3395,0.417,3.0,1.0,3.641,2.666,4.326,AVOID
127,Gomez,Brighton,5,MID,5.0,2.8,90.0,1.5,0.3,0.5,3.0,0.796,3.633,2.028,4.869,AVOID
32,Cash,Aston Villa,2,DEF,4.5,8.6,90.0,1.7,0.3778,0.5,3.0,0.408,3.633,1.377,4.592,AVOID
89,Henry,Brentford,4,DEF,4.5,0.2,90.0,1.751,0.3891,0.583,3.0,0.072,3.632,1.388,5.638,AVOID
423,Shaw,Man Utd,16,DEF,4.5,22.6,90.0,1.802,0.4004,0.667,2.8,0.269,3.625,1.489,4.21,AVOID
158,Gittens,Chelsea,6,MID,6.0,0.0,85.0,1.924,0.3207,0.417,3.0,0.175,3.607,2.067,5.702,AVOID
209,Johnson,Everton,9,MID,6.0,0.2,85.0,1.924,0.3207,0.417,3.0,0.376,3.598,2.178,5.681,AVOID
